impl_name,scenario,N,ns_per_op
rust_vec_i64,READ_UNWRITTEN,100000,2.0379
sec3,READ_UNWRITTEN,100000,6.8111
sec4,READ_UNWRITTEN,100000,5.6343
std_vector,READ_UNWRITTEN,100000,3.6737
std_vector_direct,READ_UNWRITTEN,100000,2.8978
go_slice_int64,READ_UNWRITTEN,1000000,29.112
numpy_int64,READ_UNWRITTEN,1000000,299.869
py_array_q,READ_UNWRITTEN,1000000,222.3977
py_list,READ_UNWRITTEN,1000000,190.4467
rust_vec_i64,READ_UNWRITTEN,1000000,13.1207
sec3,READ_UNWRITTEN,1000000,30.5363
sec4,READ_UNWRITTEN,1000000,25.9416
std_vector,READ_UNWRITTEN,1000000,20.7577
std_vector_direct,READ_UNWRITTEN,1000000,7.3533
go_slice_int64,READ_UNWRITTEN,10000000,34.3412
numpy_int64,READ_UNWRITTEN,10000000,321.9876
py_array_q,READ_UNWRITTEN,10000000,253.7623
py_list,READ_UNWRITTEN,10000000,217.2233
rust_vec_i64,READ_UNWRITTEN,10000000,12.2058
sec3,READ_UNWRITTEN,10000000,31.9031
sec4,READ_UNWRITTEN,10000000,47.8157
std_vector,READ_UNWRITTEN,10000000,20.2396
std_vector_direct,READ_UNWRITTEN,10000000,10.0675
go_slice_int64,READ_UNWRITTEN,100000000,55.6151
numpy_int64,READ_UNWRITTEN,100000000,428.6575
py_array_q,READ_UNWRITTEN,100000000,317.0791
py_list,READ_UNWRITTEN,100000000,275.6033
rust_vec_i64,READ_UNWRITTEN,100000000,21.4698
sec3,READ_UNWRITTEN,100000000,55.7528
sec4,READ_UNWRITTEN,100000000,36.1506
std_vector,READ_UNWRITTEN,100000000,31.0489
std_vector_direct,READ_UNWRITTEN,100000000,19.8128
go_slice_int64,WRITE_RANDOM,1000,0.0
numpy_int64,WRITE_RANDOM,1000,1729.0
py_array_q,WRITE_RANDOM,1000,916.0
py_list,WRITE_RANDOM,1000,774.8
rust_vec_i64,WRITE_RANDOM,1000,5.1
sec3,WRITE_RANDOM,1000,40.7
sec4,WRITE_RANDOM,1000,37.8
std_vector,WRITE_RANDOM,1000,10.2
std_vector_direct,WRITE_RANDOM,1000,8.2
go_slice_int64,WRITE_RANDOM,10000,0.0
numpy_int64,WRITE_RANDOM,10000,981.5
py_array_q,WRITE_RANDOM,10000,1213.4
py_list,WRITE_RANDOM,10000,1082.91
rust_vec_i64,WRITE_RANDOM,10000,5.08
sec3,WRITE_RANDOM,10000,35.11
sec4,WRITE_RANDOM,10000,28.16
